Q No.,Question,Option A,Option B,Option C,Option D,Answer
#0068,Which was a famous group of high-kicking stage dancers?,Checkout Girls,Cashpoint Girls,Tiller Girls,Turnstile Girls,Tiller Girls
#0069,Which of these is a person who performs tricks that deceive the eye?,Illustrator,Illuminator,Illiterate,Illusionist,Illusionist
#0070,Which of the following words for a coat also describes the paper cover of a book?,Cagoule,Mackintosh,Jacket,Parka,Jacket
#0071,What is hung over a horse's head for feeding?,Nosebag,Nosegay,Nosedive,Nosejob,Nosebag
#0072,Something mediocre can be described as 'no great ...'?,Shakes,Quivers,Wobbles,Trembles,Shakes
#0073,What do you proverbially let down when behaving without reserve?,Shoulders,Elbows,Knees,Hair,Hair
#0074,Which is not a species of seal?,Elephant,Leopard,Three-legged,Grey,Three-legged
#0075,Which keyboard player was awarded the OBE in the 2003 Birthday Honours list?,Cools Belgium,Drools Luxembourg,Fools France,Jools Holland,Jools Holland
#0076,"Which show took place between 6th-9th March 2004 at the NEC, Birmingham?",Toffs,Cuffs,Crufts,Lifts,Crufts
#0077,"Harrison Ford announced in August 2003, that he would make a fourth film playing which role?",Nevada Morgan,Wyoming Williams,Indiana Jones,Montana Evans,Indiana Jones
#0078,August 16th 2003 was the 40th anniversary of which 'Great' robbery?,Hovercraft,Pushchair,Balloon,Train,Train
#0079,Which member of the Royal Family celebrated his 19th birthday in September 2003?,Prince Edward,Prince Andrew,Prince Harry,Prince Charles,Prince Harry
#0080,With which football club was David Beckham's name not linked in 2003?,Barcelona,Scunthorpe United,AC Milan,Real Madrid,Scunthorpe United
#0081,Whose return to 'EastEnders' in 2004 sparked a 560 megawatt power surge on the national grid?,Filthy Fred,Smutty Sam,Grubby Gordon,Dirty Den,Dirty Den
#0082,Which patron saint's day falls on 23rd April?,St Harry,St Albert,St George,St William,St George
#0083,What is celebrated in Wales on 1st March?,Gareth Edwards Day,St David's Day,Tom Jones Day,Richard Burton Day,St David's Day
#0084,Which adjective applied to Friday 9th April in 2004?,Good,Bad,Ugly,Indifferent,Good
#0085,Which of these is a popular form of music?,County & Eastern,Kingdom & Northern,Land & Southern,Country & Western,Country & Western
#0086,Which of these is a slang term for a mean person?,Cheapskate,Cheapshark,Cheapmackerel,Cheaphaddock,Cheapskate
#0087,Which of these is a common term for a programme of physical exercises?,Stay able,Remain trim,Continue competent,Keep fit,Keep fit
#0088,What is the usual name for an establishment containing a lot of fruit machines?,Amusement arcade,Happy house,Fun folly,Hilarity hall,Amusement arcade
#0089,Which of these means displaying advertising posters in an unauthorised place?,Ant-posting,Bee-posting,Fly-posting,Wasp-posting,Fly-posting
#0090,On which of these might you win a large amount of money?,National Flattery,National Lottery,National Battery,National Pottery,National Lottery
#0091,What kind of envelope has a transparent section through which the address can be seen?,Fanlight,Door,Sunroof,Window,Window
#0092,Which of these is a type of beer?,Acid,Bitter,Tart,Sour,Bitter
#0093,What is a woman said to do with her eyelashes when she is being flirtatious?,Litter,Platter,Flutter,Rotter,Flutter
#0094,Which of these is an ice cream dessert?,Sundae,Mondae,Tuesdae,Wednesdae,Sundae
#0095,Which term means replacing a telephone receiver at the end of a call?,Jump up,Hang up,Toss up,Play up,Hang up
#0096,Which of these is a popular garden flower?,Busnation,Carnation,Trainnation,Planenation,Carnation
#0097,Which of these describes something which causes stress or anxiety?,Knee-racking,Nerve-racking,Nodule-racking,Nose-racking,Nerve-racking
#0098,Which of these is a device often used in a séance?,Ironing board,Cheeseboard,Circuit board,Ouija board,Ouija board
#0099,Which of these is a child's playground game in which participants slap each other's hands?,Pat-a-bap,Pat-a-roll,Pat-a-biscuit,Pat-a-cake,Pat-a-cake
#0100,Which of these is a term for a typically average man?,Joe Cole,Joe Bloggs,Joe Bugner,Joe Strummer,Joe Bloggs
#0101,What is the name of the instrument panel in a car?,Chargeboard,Sprintboard,Dashboard,Jogboard,Dashboard
#0102,What type of protective headgear do motorcyclists wear?,Bash helmet,Crash helmet,Mash helmet,Flash helmet,Crash helmet
#0103,"In western films, what name is given to a gang of law enforcement officers?",Bossy,Mossy,Glossy,Posse,Posse
#0104,Which of these refers to an alcoholic drink served with ice?,Shingled,On the rocks,Pebbledashed,Stoned,On the rocks
#0105,"Complete the title of the TV comedy drama, 'Auf Wiedersehen, ...'?",Sweetie,Darling,Angel,Pet,Pet
#0106,By what alternative name is Manchester International Airport sometimes known?,Ringmaster,Ringbark,Ringway,Ringside,Ringway
#0107,Which is the title of a soap set in a rural Scottish community?,M1,Autobahn,High Road,Motorway,High Road
#0108,In which of these areas is the children's soap 'Grange Hill' set?,West Birmingham,South Humberside,East London,North Sheffield,East London
#0109,In which TV series did Dennis Weaver play a cowboy cop in New York?,McRain,McDew,McFog,McCloud,McCloud
#0110,Which TV programme would you most expect to see Jeremy Clarkson presenting?,Newsnight,Ground Force,Top Gear,Antiques Roadshow,Top Gear
#0111,The oche is a marker in which sport?,Polo,Darts,Tennis,Basketball,Darts
#0112,Which part of the body do bronchial infections mainly attack?,Eyes,Liver,Spleen,Lungs,Lungs
#0113,Which of the following is not a geological period?,Jurassic,Palaeozoic,Triassic,Boracic,Boracic
#0114,By what name is part of the constellation Ursa Major sometimes known?,The Big Flipper,The Big Gripper,The Big Dipper,The Big Tripper,The Big Dipper
#0115,Which is a famous rock group whose albums include 'Slippery When Wet' and 'New Jersey'?,Bon Jovi,Bon Idée,Bon Marché,Bon Bon,Bon Jovi
#0116,With which of these did Wham! have a UK Top 10 hit in 1984?,Last Christmas,Last New Year,Last Easter,Last Summer,Last Christmas
#0117,"In the title of a Stevie Wonder hit, he just 'Called to Say ...' what?",You owe me,You're dumped,I love you,I'm on the train,I love you
#0118,Which Irish rock band shares its name with an American spy plane?,U2,SR-71,F-111,C-130,U2
#0119,Which of these is a type of drum?,Bear,Snare,Fair,Blair,Snare
#0120,What copy can be said to describe something identical?,Oxygen,Hydrogen,Nitrogen,Carbon,Carbon
#0121,Which of these did Old King Cole not call for?,His fiddlers,A curry,His bowl,His pipe,A curry
#0122,Who sings for his supper in a nursery rhyme?,Freddie Folder,Chris Creaser,Peter Pleater,Tommy Tucker,Tommy Tucker
#0123,Which is a chain of international hotels?,Four Tops,Four Pennies,Four Seasons,Four Posters,Four Seasons
#0124,"At which tourist attraction are the Corkscrew, Oblivion, Ripsaw and Nemesis rides?",Tower of London,Alton Towers,Bristol Zoo,Giant's Causeway,Alton Towers
#0125,Which of these is a spicy Indian dish?,Spaghetti,Biriani,Bellini,Crostini,Biriani
#0126,The name of which dish of small dumplings is the Italian for 'lumps'?,Tutti-frutti,Gnocchi,Pizza,Salami,Gnocchi
#0127,A traditional Italian dish is spaghetti ...?,Roma,Bolognese,Firenze,Pisa,Bolognese
#0128,Which place is not associated with a type of cake?,Madeira,Middlesbrough,Eccles,Dundee,Middlesbrough
#0129,Which of these is a type of cured herring?,Floater,Bloater,Gloater,Eloper,Bloater
#0130,"In the world of video games, who has a brother called Luigi?",Mario,Benito,Carlo,Georgio,Mario
#0131,Which of the following is associated with the invention of the raincoat?,Edward Woollyhat,Charles Macintosh,Robert Jumper,Frank Waistcoat,Charles Macintosh
#0132,Which of these is the US name for the French card game vingt-et-un?,Blackjack,Bluejack,Redjack,Greenjack,Blackjack
#0133,Which board game is known as 'checkers' in the USA?,Snakes & ladders,Backgammon,Draughts,Ludo,Draughts
#0134,Which military hero has the same name as a hold used in wrestling?,Sherman,Nelson,Montgomery,Wellington,Nelson
#0135,Which of these is a legendary British king who is said to have drawn a sword from a stone?,Eric,Albert,Ernie,Arthur,Arthur
#0136,Which of these is a village in Somerset?,Brie,Emmental,Gorgonzola,Cheddar,Cheddar
#0137,"Which organisation preserves monuments, buildings and areas of the countryside in England?",National Trust,National Debt,National Service,National Gallery,National Trust
#0138,Which is not a real English county?,West Sussex,South Norfolk,North Yorkshire,East Sussex,South Norfolk
#0139,Which country is not crossed by the Arctic Circle?,Norway,Finland,Greece,Sweden,Greece
#0140,The West Country is famous for which alcoholic drink?,Wine,Cider,Beer,Whisky,Cider
#0141,What name is given to a person who turns animal skins into leather?,Shilling,Quid,Tanner,Florin,Tanner
#0142,Which metal lends its name to a US five-cent coin?,Iron,Zinc,Nickel,Tin,Nickel
#0143,Which 1969 film won the Best Picture Oscar?,Midnight Cowboy,Noontime Apache,Twilight Cavalry,Morning Rancher,Midnight Cowboy
#0144,What nationality is the film star Sean Connery?,Irish,English,Welsh,Scottish,Scottish
#0145,Which character is played by Verne Troyer in the 'Austin Powers' films?,Mini-Cooper,Mini-Mouse,Mini-Me,Mini-Skirt,Mini-Me
#0146,"Complete the title of the Oscar-nominated film starring Tom Cruise, 'The Last ...'?",Samurai,Ninja,Shogun,Geisha,Samurai
#0147,In which film must a bus keep travelling at 50 miles per hour so that it does not explode?,Speed,Velocity,Tempo,Thrust,Speed
#0148,Which is a 1986 musical with lyrics by Tim Rice?,Ludo,Monopoly,Cluedo,Chess,Chess
#0149,"Which of these is both a person who chooses to live alone, and a type of crab?",Hero,Hermit,Heretic,Herald,Hermit
#0150,What term is used for a young man who takes part in rowdy and boorish group behaviour?,Beer brat,Whisky wideboy,Lager lout,Pub pig,Lager lout
#0151,Which of these is an obstruction built across a river?,Seer,Rear,Fear,Weir,Weir
#0152,Which of these is an adolescent romantic attachment?,Puppy love,Kitten love,Bunny love,Piggy love,Puppy love
#0153,Which of these is a slang term for 'excellent'?,Joker,Queen,Jack,Ace,Ace
#0154,"What name is given to a heavy, metal-headed, spiked club?",Nutmeg,Mace,Saffron,Clove,Mace
#0155,An older person is sometimes described as 'long in the ...'?,Tooth,Eye,Hair,Nose,Tooth
#0156,What do you proverbially 'make' at someone if you flirt with them?,Ears,Eyes,Teeth,Hands,Eyes
#0157,"According to the saying, which of these is 'a dish best served cold'?",Revenge,Cottage pie,Custard,Stew,Revenge
#0158,To know the rudiments of a subject is to 'know your ...'?,ABC,HIJ,KLM,QRS,ABC
#0159,"To adapt to something easily, is to 'take to it like a ... to water'?",Coot,Duck,Swan,Submarine,Duck
#0160,Something unfair or unsporting is said to be 'not ...'?,Tennis,Football,Cricket,Rugby,Cricket
#0161,Which would not be awarded in the New Year's Honours List?,QBE,MBE,OBE,CBE,QBE
#0162,Which word describes a group of retail outlets with a common owner?,Chain,Fetter,Shackle,Bond,Chain
#0163,Which company markets 'sensual lingerie' and 'naughty novelties'?,Jane Winters,Mary Autumns,Ann Summers,Sadie Springs,Ann Summers
#0164,Which of the following was an Irish figurative painter?,Francis Egg,Francis Sausage,Francis Bacon,Francis Bean,Francis Bacon
#0165,What does a hedgehog normally do when alarmed?,Roll into a ball,Burrow,Run in circles,Roar loudly,Roll into a ball
#0166,Which is a type of wading bird?,Winklenicker,Prawngrabber,Cocklenabber,Oystercatcher,Oystercatcher
#0167,Which of these is a butter substitute made with vegetable oils?,Margaret,Margarine,Margarita,Margate,Margarine
#0168,Which low-cost airline was bought by Ryanair in 2003?,Hum,Buzz,Fizz,Bang,Buzz
#0169,What did Jamie Oliver leave behind when he collected his MBE from the Queen in October 2003?,Trousers,Shirt,Tie,Shoes,Tie
#0170,Which is a 2003 comic-strip super-hero film?,The Lump,The Mass,The Hulk,The Hunk,The Hulk
#0171,"Complete the title of the 2003 Disney release, 'Pirates of the ...'?",Black Sea,Atlantic,English Channel,Caribbean,Caribbean
#0172,"Which country music legend, known as 'the man in black', died in September 2003?",Freddie Cheque,Tommy Card,Johnny Cash,Mickey Debit,Johnny Cash
#0173,"In 2003, as what did Prince Harry work in his first three months in Australia?",Kangaroo,Socceroo,Hullabaloo,Jackaroo,Jackaroo
#0174,Which of these countries did not host a Formula 1 Grand Prix race in 2003?,Monaco,France,Italy,Madagascar,Madagascar
#0175,Who won his sixth World Drivers' title in October 2003?,Michael Crawford,Michael Owen,Michael Barrymore,Michael Schumacher,Michael Schumacher
#0176,"In May 2003, London announced it would enter the race to host what event?",Tour de France,Edinburgh Festival,2012 Olympics,Super Bowl,2012 Olympics
#0177,"Complete the title of the 2003 BAFTA-winning show, 'I'm a Celebrity: ...'?",Get My Agent,Get Me Out of Here,Get Out of My Way,Get Me a Drink,Get Me Out of Here
#0178,Prisoner FF8282 walked free from prison on 21st July 2003: by what name is he better known?,Lord Pikeman,Lord Gunner,Lord Rifleman,Lord Archer,Lord Archer
#0179,"In January 2003, 23-year-old Andrew Cooney became the youngest person to walk to where?",Cleethorpes,Filey,South Pole,Bridlington,South Pole
#0180,Which of these non-elected people resigned from Downing Street in 2003?,Jackie Stewart,Patrick Stewart,Patrick Campbell,Alastair Campbell,Alastair Campbell
#0181,Which famous cricketer was given a twelve-month ban in February 2003?,Shane Fenton,Shane MacGowan,Shane Warne,Shane Richie,Shane Warne
#0182,Who was confirmed as the player-manager of Millwall FC in November 2003?,Dennis Clever,Dennis Sage,Dennis Wise,Dennis Smart,Dennis Wise
#0183,"In 2003, whose 44-day stunt in London cost over £64,000 to police?",Tony Blair,David Blaine,Alastair Campbell,Charles Ingram,David Blaine
#0184,"What was the first name of Miss Springfield, the singer who died in 1999?",Rusty,Crusty,Musty,Dusty,Dusty
#0185,Damon Albarn is the lead singer with which group?,Smudge,Misty,Bleary,Blur,Blur
#0186,Which is not a recognized playing surface for tennis?,Grass,Linoleum,Clay,Cement,Linoleum
#0187,What are you said to bet when you are absolutely certain of something?,Bottom pound,Bottom dollar,Bottom euro,Bottom rupee,Bottom dollar
#0188,Which of the following are a type of close-fitting knee-length shorts?,Menorca shorts,Guernsey shorts,Bermuda shorts,Cyprus shorts,Bermuda shorts
#0189,What word describes plants with thick fleshy leaves which store water?,Delicious,Sumptuous,Succulent,Scrumptious,Succulent
#0190,Which of the following is a small sausage?,Maraschino,Chipolata,Risotto,Gazpacho,Chipolata
#0191,What term refers to replacing defective joints in masonry work?,Aiming,Staring,Pointing,Prodding,Pointing
#0192,Which of these is a term meaning a match in bridge?,Pencil,Eraser,Rubber,Crayon,Rubber
#0193,Which of these is a dessert of hot meringue and cold ice cream?,Fried Florida,Baked Alaska,Hot Hawaii,Curried Carolina,Baked Alaska
#0194,"Representing money, what name is given to the gaming counters used in card games?",Chips,Crisps,Fries,Nachos,Chips
#0195,What is the collective term for actors appearing in a film or play?,Cast,Band,Group,Clique,Cast
#0196,Which of these is a carnivorous plant?,Mars anteater,Saturn spidernet,Pluto bugsnare,Venus flytrap,Venus flytrap
#0197,Which of these is true of filo pastry?,Very thin,Bright red,Does not cook,Made of apples,Very thin
#0198,"What are you said to break, when you make friends with a stranger?",The ice,The snow,The hail,The frost,The ice
#0199,Two very different things are said to be like 'chalk and ...'?,Chipmunks,Cheese,Chestnuts,Chopsticks,Cheese
#0200,Which of these is a type of puzzle often found in newspapers?,Crossword,Madword,Angryword,Snappyword,Crossword
#0201,"Traditionally, people use their feet to extract juice from which fruit?",Pineapple,Cherry,Grape,Prickly pear,Grape
#0202,"If a circus tightrope walker fell off his high wire, he would be most likely to land on what?",Safety match,Safety lamp,Safety net,Safety razor,Safety net
#0203,"With which activity is the phrase 'going, going, gone' most associated?",An auction,Gardening,Horse racing,Boxing,An auction
#0204,Who fought against the Cavaliers in the English Civil War?,Roundheads,Squareheads,Flatheads,Thickheads,Roundheads
#0205,"Complete the title of the D H Lawrence novel, 'Lady Chatterley's ...'?",Lover,Dentist,Tennis coach,Overdraft,Lover
#0206,Where are the headquarters of the US Department of Defense?,The Triangle,The Rectangle,The Pentagon,The Dodecahedron,The Pentagon
#0207,Which word means 'to go to a party uninvited'?,Windowlash,Gatecrash,Doorbash,Hatchmash,Gatecrash
#0208,Which of these is a theory about the creation of the universe?,Big Bong,Big Bang,Big Ben,Big Bertha,Big Bang
#0209,"According to the proverb, what 'keeps the doctor away'?",Apple a day,Melon a week,Orange a month,Banana a year,Apple a day
#0210,Lennox Lewis is a famous figure in which sport?,Horse racing,Tennis,Speedway,Boxing,Boxing
#0211,Who is said to leave money in return for a child's tooth that has fallen out?,Dental gnome,Tusk elf,Tooth fairy,Fang pixie,Tooth fairy
#0212,"What term describes a smaller-sized newspaper, containing more photos and less formal news?",Tabloid,Android,Steroid,Anthropoid,Tabloid
#0213,How is the Queensland and Northern Territories Aerial Service Limited more commonly known?,Roo Airways,Emu Airlines,Aussie Air,Qantas,Qantas
#0214,Which of the following is most likely to run on caterpillar tracks?,Car,Train,Bulldozer,Bicycle,Bulldozer
#0215,Which code is a set of rules and information concerning the use of public roads in the UK?,Morse code,Semaphore code,Penal code,Highway code,Highway code
#0216,Which Channel 4 sitcom centred around a pair of rival Indian restaurants?,Madras Mornings,Dahl Dusks,Tandoori Nights,Aloo Afternoons,Tandoori Nights
#0217,Which company makes the TV soap 'Neighbours'?,Archer,Grundy,Borchester,Ambridge,Grundy
#0218,Which beer was advertised by Jack Dee on TV?,Fred Blogg's,Taff Jone's,John Smith's,Raj Patel's,John Smith's
#0219,What sort of woman was Lindsay Wagner in the US TV series?,Robotic,Bionic,Synthetic,Automatic,Bionic
#0220,Which of these is a satellite TV channel?,Trademark,Landmark,Hallmark,Dirtymark,Hallmark
#0221,"Complete Baldrick's catchphrase from the 'Blackadder' series, 'I have a cunning ...'?",Fox,Mind,Plan,Wife,Plan
#0222,Which cartoon character has the reputation of being the fastest mouse in all of Mexico?,Zippy Zapata,Speedy Gonzales,Pacey Pepe,Hasty Hernandez,Speedy Gonzales
#0223,Which of these is a rowing expression?,Catch a fish,Catch a line,Catch a crab,Catch a cold,Catch a crab
#0224,By what nickname is the Barbarians rugby club known?,Woof-woofs,Meow-meows,Moo-moos,Baa-baas,Baa-baas
#0225,Which of these are located at the back of your throat?,Deltoids,Tabloids,Adenoids,Solenoids,Adenoids
#0226,What type of steroids have a protein-building effect?,Carbolic,Shambolic,Anabolic,Diabolic,Anabolic
#0227,What would be used to boost an electrical signal?,Ambrosia,Amphitheatre,Amphetamine,Amplifier,Amplifier
#0228,How many lines are used for the 'equals' sign in mathematical notation?,One,Two,Three,Four,Two
#0229,Which chemical element was named after a planet in our solar system?,Venusium,Jupiterium,Uranium,Saturnium,Uranium
#0230,Which is not a classification of star?,Red giant,White dwarf,Red dwarf,Green goblin,Green goblin
#0231,"Complete the name of the inventor of the telephone, Alexander Graham ...?",Bell,Ring,Gong,Ping,Bell
#0232,'Freak of Nature' is the title of a worldwide hit album by whom?,Anastacia,Caucasia,Dysphasia,Phoenicia,Anastacia
#0233,Which girl group had hits in the 1980s with 'Robert De Niro's Waiting' and 'Venus'?,Orangerama,Peachrama,Lemonrama,Bananarama,Bananarama
#0234,"In the title of the Beatles album, to which club do Sergeant Pepper's band members belong?",Singles,Lonely Hearts,Two's Company,Bleeding Hearts,Lonely Hearts
#0235,Which band was fronted by the late Ian Dury?,Bareheads,Bigheads,Baldheads,Blockheads,Blockheads
#0236,Robbie Williams was once a member of which of these?,Ouch!,Take That,Wham!,Biff!,Take That
#0237,Which group had a UK hit in 2001 with '21 Seconds'?,So Solid Crew,So Stout Crew,So Tough Crew,So Mighty Crew,So Solid Crew
#0238,Which of the following is a popular girl band?,Mys-Tery,Mis-Match,Mis-Teeq,Mis-Thebus,Mis-Teeq
#0239,"Complete the title of the well-known hymn, 'Abide with ...'?",Him,Them,Me,The Hilton,Me
#0240,Which of these is a three-stringed musical instrument?,Balaclava,Balakirev,Balalaika,Balanchine,Balalaika
#0241,Which name completes the saying 'I'm all right ...'?,Jeremy,Jermaine,Jacob,Jack,Jack
#0242,An achievement to be proud of is a ' ... in one's cap'?,Quill,Wing,Plume,Feather,Feather
#0243,"According to the nursery rhyme, 'you shall have a fishy when ...' what comes in?",The Tide,The Boat,The Wife,The Horse,The Boat
#0244,Which 'Man' was Robinson Crusoe's companion on his desert island?,Monday,Wednesday,Thursday,Friday,Friday
#0245,"Which term applies to light novels, often thrillers, which do not require much effort to read?",Station novel,Railway novel,Airport novel,Heliport novel,Airport novel
#0246,Which of these is a term for an actor?,Equestrian,Thespian,Pedestrian,Martian,Thespian
#0247,Which part of a horseradish plant is normally used to make the sauce?,Leaf,Seed,Flower,Root,Root
#0248,Which of these might be sprinkled on a rice pudding?,Cinnabar,Cinnamon,Cincinnati,Cinerama,Cinnamon
#0249,With which French region is a certain type of quiche associated?,Alsace,Lorraine,Basque,Dordogne,Lorraine
#0250,Which salad dressing is named after a group of islands in the St Lawrence river?,Ten Island,Hundred Island,Thousand Island,Million Island,Thousand Island
#0251,What is Double Gloucester?,Card game,Cheese,Very thick hedge,Thatched roof,Cheese
#0252,Which of these first came on the market in 1937?,Posh Spice,Scary Spice,Baby Spice,Old Spice,Old Spice
#0253,A person who slavishly buys the latest clothes is a 'fashion ...'?,Witness,Culprit,Suspect,Victim,Victim
#0254,"In which board game do players move around the board, eliminating suspects from their list?",Scrabble,Trivial Pursuit,Monopoly,Cluedo,Cluedo
